iter	MultiClass
0	1.257853465
1	1.160038992	2	1.067271456
3	0.9981060033
4	0.9389886695	5	0.8886997176	6	0.843577847	0.8019641387
8	0.7713020267
9	0.740309054
10	0.7128046134
11	0.6881416827
12	0.6640191134
13	0.6435612707
14	0.624451166
15	0.6065516263
16	0.5891798729
17	0.574180104
18	0.5608517482
19	0.548875182
20	0.537179806
21	0.5264445036
22	0.5178350121
23	0.5088662384
24	0.4998688207
25	0.4919977437
26	0.484659111
27	0.4727	0.4757324433
28	0.4689197146
29	0.4622584327
30	0.4560007743
31	0.4502524976
32	0.4455850531
33	0.4413899213
34	0.4371657558
35	0.4325234264
36	0.4282124435
37	0.4241589402
38	0.4209591162
39	0.4170833573
40	0.4128637787
41	0.4096314102
42	0.4063031461
43	0.403571844	0.4056555318
45	0.4030778948446	0.4007880151447	0.397921313
48	0.3955411558
49	0.3925784252
50	0.3895577549
51	0.3876509003
52	0.3857419823
53	0.3837319835
54	0.3817082431
55	0.379993384
56	0.377935975
57	0.3751522858	5858	0.3723962765959	0.37033760	0.3571529547
61	61	0.3678494335
62	0.3652390333
63	0.3637253903
64	0.3617531418
65	0.3591779475
66	0.3583093375
67	0.3563954403
68	0.3549128836
69	0.3529757278
70	0.3518415894
71	0.3500919304
72	0.3482155026
73	0.3471362995
74	0.3452712654
75	0.3440205975
76	0.3425839159
77	0.3410064812
78	0.3391689654
79	0.3371232602
80	0.335473887
81	0.3340100751
82	0.332162986
83	0.331587284
84	0.3294665587
85	0.3282534359
86	0.327146924
87	0.3255590565
88	0.3242110266
89	0.3231138671
90	0.3223020191
91	0.3210710256
92	0.3198967651993	0.3193179944
94	0.3178706868
95	0.3163665616
96	0.3144640044
97	0.31369953298	0.3147110232
99	0.3132589617
100	0.3121007244
101	0.3111783144
102	0.3095804175
103	0.3084584171
104	0.3080865535
105	0.3069208979
106	0.305861063
107	0.3047599644
108	0.304185578
109	0.3022437816
110	0.3013736626
111	0.3004254703
112	0.2997845962
113	0.2987364935
114	0.2975079562
115	0.2962230096
116	0.2949051564
117	0.2935732065
118	0.118	0.2975411119	0.2919131867
120	0.2907742797
121	0.2891089403
1122	0.2925992165123	0.2866936321
1124	0.290654692
125	0.2896137499
126	0.28861903
127	0.2880245363
128	0.2869819739
129	0.2862144593
130	0.2853090404
131	0.2836818171
132	0.2826451281
133	0.2809066247
134	0.2790106574
135	0.2781391109
136	0.2776346645
137	0.2762688829
138	0.2752430833
139	0.2744583979
140	0.2732798399
141	0.2719617514
142	0.2710067356
143	0.2706103546
144	0.2697751127
145	0.2687823739
146	0.2680768293
147	0.267126582
148	0.2660623411
149	0.2652714807
150	0.2646843656
151	0.2639388509
152	0.2630586129
153	0.262460977
154	0.2616659864
155	0.2607568574
156	0.2600254892
157	0.2592582547
158	0.2588708222
159	0.2581011138
160	0.2568892446
161	0.2564026022
162	0.2556306666
163	0.2551221673
164	0.2537911879
165	0.2528877352
166	0.2522089377
167	0.2518500747
168	0.2510892798
169	0.2496299961
170	0.2491632645
171	0.248597139
172	0.2478079673
173	0.247588997
174	0.2467728431
175	0.2464878872
176	0.2459158861
177	0.2454254817
178	0.2440386138
179	0.2430242677
180	0.241973238
181	0.2414231195
182	0.2400502645
183	0.2390247655
184	0.2380546691
185	0.2372161902
