iter	Passed	Remaining
0	57	57316
1	177	884482	207	68834
33	294	734364	288	57375
5	365	60574
66	510	723517	596	73917
8	645	71041
9	773	76557
10	838	75363
11	986	81199
12	1035	78652
13	1043	73477
14	1239	81388
15	1272	78253
16	1322	76466
17	1365	74490
18	1368	70674
19	1396	68439
20	1408	65650
21	1423	63276
22	1449	61591
23	1489	60565
24	1496	58325	25	1538	57626	1658	59771
27	1739	60391
28	1760	58941
29	1768	57190
30	1794	56088
31	1895	57351
32	1948	57085
33	1953	55497
34	1957	53981
35	1979	53000
36	2017	52520
37	2099	53154
38	2104	51864
39	2129	51115
40	2134	49936
41	2195	50070
42	2198	48934
44	2040	4344	2273	48245
45	246	2154	4346	247	2229	4447	2471	49026
48	2476	48066
49	2541	48286
50	2610	48579
51	2615	452	2552	2679	4787553	2668	46740
554	2784	47847
55	2824	47617
56	2829	46817
57	2894	4701558	2962	47250
59	3060	2901	44656
61	2958	4461	3168	47935
62	3225	47974
63	3326	48651
64	3367	48443
65	3387	47936
66	3440	47915
67	3559	48780
68	3585	48381
69	3595	47771
70	3644	47690
71	3650	47051
72	3754	47672
73	3761	47074
74	3774	46546
75	3807	46296
76	3859	46265
77	3874	45801
78	3918	45684
79	4074	46852
80	4080	46298
81	4116	46083
82	4126	45588
83	4214	45961
84	4268	45950
85	4276	45445
86	4281	44932
87	4377	45369
88	4381	44845
89	4408	44574
90	4490	44854
91	4523	44640
92	4559	44462993	4659	44910
94	4691	44693
95	4755	44783
96	4780	44501
97	4784	4403598	4820	43871
99	4850	43654
100	4960	44156
101	5008	44093
102	5025	43765
103	5080	43768
104	5094	43428
105	5209	43934
106	5242	43751
107	5248	43345
108	5282	43179
109	5327	43106
110	5371	43023
111	5423	42999
112	5459	42858
113	5475	42555
114	5523	42507
115	5578	42512
116	5582	42129
117	5598	41118	5361	39695
119	1119	5620	41220
120	5630	4121	5121	5733	4122	5588	39844
123	5123	5807	4124	5766	40365
125	5772	40038
126	5989	41172
127	6119	41688
128	6123	41342
129	6210	41559
130	6382	42339
131	6490	42676
132	6519	42498
133	6662	43056
134	6751	43258
135	6781	43079
136	6793	42794
137	6860	42854
138	6963	43130
139	7043	43268
140	7076	43113
141	7109	42957
142	7115	42644
143	7156	42544
144	7189	42394
145	7228	42280
146	7232	41969
147	7256	41774
148	7297	41678
149	7345	41623
150	7360	41383
151	7422	41412
152	7505	41549
153	7587	41683
154	7626	41577
155	7650	41391
156	7656	41108
157	7850	41835
158	7869	41625
159	7898	41466
160	8026	41826
161	8052	41655
162	8103	41610
163	8119	41389
164	8195	41474
165	8252	41459
166	8340	41603
167	8376	41483
168	8458	41591
169	8520	41599
170	8578	41589
171	8597	41387
172	8665	41425
173	8705	41326
174	8710	41062
175	8787	41143
176	8794	40893
177	8862	40924
178	8892	40784
179	8936	40710
180	9039	40901
181	9065	40747
182	9124	40735
183	9227	40921
184	9236	40691
185	9249	40477
186	9316	40506
187	9323	40269
188	9443	40521
189	9451	40295
190	9489	40194
191	9527	40095
192	9584	40077
193	9609	39924
194	9662	39887
195	9673	39680
196	9740	39704
197	9856	39923
198	9858	39683
199	9862	39451
200	9886	39298
201	9919	39187
202	10010	39301
203	10018	39090
204	10031	38903
205	10070	38813
206	10094	38672
207	10166	38710
208	10205	38625
209	10256	38582
210	10417	38952
211	10461	38886
212	10513	38845
213	10539	38709
214	10617	38767
215	10634	38598
216	10701	38615
217	10779	38669
218	10908	38901
219	10929	38751
220	11002	38780
221	11047	38717
222	11091	38646
223	11261	39013
224	11320	38992
225	11360	38908
226	11402	38829
227	11406	38623
228	11505	38737
229	11511	38538
230	11587	38574
231	11596	38387
232	11671	38419
233	11704	38316
234	11709	38118
235	11715	37925
236	11746	37818
237	11780	37715
238	11796	37560
239	11833	37472
240	11851	37326
241	11868	371243	11719	36311
244	11865	36566
245	11901	36479
246	11936	36389
247	12034	36493
248	12065	36391
249	12109	36327
250	12140	36227
2251	12704	37708252	12211	36054
2253	12889	37856
254	12982	37929
255	13065	37972
256	13111	37907
257	13164	37861
258	13316	38099
259	13322	37918
260	13425	38013
261	13465	37928
262	13508	37853
263	13590	37889
264	13659	37885
265	13670	37721
266	13794	37869
267	13870	37885
268	13923	37836
269	14008	37873
270	14071	37851
271	14076	37676
272	14152	37688
273	14281	37840
274	14347	37825
275	14353	37651
276	14425	37653
277	14489	37632
278	14524	37534
279	14628	37615
280	14647	37479
281	14720	37480
282	14731	37322
283	14795	37301
284	14846	37247
285	14868	37120
286	14874	36954
287	14960	36986
288	14964	36814
289	14989	36699
290	15032	36626
291	15092	36593
292	15140	36534
293	15201	36505
294	15207	36342
295	15256	36285
296	15292	36198
297	15379	36230
298	15430	36176
299	15455	36062
300	15464	35912301	15014	34702
302	15039	34595
303	15144	34672
3304	15719	358183305	15745	357113306	15778	356163307	15818	355403308	15860	354673309	15901	35393310	15414	34149
311	15479	34134
312	15528	34083
313	15583	34045
314	15651	34034
315	15659	33895
316	15749	33934
3317	16336	35035318	15978	34111
319	16001	34003
320	16056	33963
321	16168	34044
322	16202	33960
323	16209	33820
324	16351	33961
325	16357	33819
326	16432	33819
327	16440	33682
328	16510	33673
329	16592	33688
330	16677	33707
331	16725	33653
332	16740	33531
333	16761	33423
334	16766	33283
335	16781	33163
336	16845	33141
337	17018	33331
338	17040	33225
339	17105	33205
340	17180	33202
341	17202	33097
342	17221	32986
343	17318	33025
344	17356	32952
345	17397	32884
346	17421	32783
347	17486	32762
348	17535	32709
349	17568	32627
350	17603	32548
351	17654	32500
352	17703	32447
353	17808	32498
354	17833	32402
355	17938	32449
356	17944	32321
357	18106	32469
358	18112	32340
359	18168	32299
360	18298	32390
361	18370	32376
362	18423	32329
363	18490	32307
364	18591	32344
365	18687	32371
366	18692	32241
367	18779	32251
368	18827	32195
369	18832	32066
370	18841	31944
371	18926	31951
372	18954	31862
373	18961	31738
374	18969	31615
375	19031	31583
376	19076	31524
377	19079	31395
378	19145	31370
379	19149	31243
380	19186	31172
381	19268	31171
382	19271	31045
383	19274	30919
384	19290	30815
385	19297	30696
386	19347	30645
387	19402	30603
388	19409	30486
389	19483	30473
390	19500	30373
391	19504	30252
392	19513	30139
393	19550	30070
3394	20183	30913
395	20238	30868
396	20252	30760
397	20257	30640
398	20342	30641
399	20377	305654400	20426	30512
401	20488	30477
402	20582	30490
403	20623	30425
404	20642	30325
405	20656	30221
406	20660	301034407	20798	30178
408	20818	300814409	20842	299934410	20873	29914411	20305	28979
412	20352	28926
413	20419	28903
414	20540	28954
415	20618	28945
416	20645	28863
417	20651	28754
418	20754	28778
419	20757	28664
420	20766	28560
421	20904	28632
422	20943	28568
423	20949	28459
424	20998	28410
425	21095	28424
426	2426	21413	2427	2427	21450	28668
428	21469	28576
429	21541	28555
430	21586	28498
431	21596	28395
432	21631	28325
433	21683	28279
434	21723	28215
435	21778	28172
436	21785	2437	2437	21880	28074
438	21929	2439	2439	22001	2440	21770	27595
441	21867	27606
442	21890	27523
443	21946	27482
444	21990	27426
445	2445	22277	2446	22075	27310
447	22093	27221
4448	22785	27961449	22218	27156
450	22224	27053
451	22305	27042
4452	22945	277064453	22994	27653454	22436	26875
455	22466	26801
456	22504	26739
457	22529	26662
458	22569	26601
459	22573	26498
460	22657	26490
461	22714	26451
462	22758	26396
463	22857	26403
464	22914	26363
465	22972	26324
466	22978	26226
467	23086	26243
468	23138	26197
469	23143	26097
470	23205	26062
471	23219	25974
472	23277	25934
473	23331	25890
474	23385	25847
475	23462	25828
476	23554	25826
477	23618	25792
478	23790	25876
479	23826	25812
480	23875	25761
481	23960	25749
482	23968	25656
483	24069	25660
484	24117	25609
485	24231	25627
486	24237	25531
487	24428	25629
488	24505	25608
489	24631	25636
490	24673	25578
491	24763	25568
492	24828	25533
493	24915	25520
494	24954	25458
495	25045	25449
496	25184	25488
497	25376	25579
498	25479	25581
499	25537	25537
500	25609	25507
501	25717	25512
502	25802	25494
503	25810	25401
504	25868	25356
505	25987	25371
506	25990	25273
507	26150	25326
508	26257	25328
509	26311	25279
510	26451	25312
511	26537	25293
512	26550	25205
513	26671	25218
514	26718	25161
515	26754	25095
516	26798	25036
517	26850	24984
518	26858	24892
519	26935	24863
520	26983	24807
521	27015	24737
522	27110	24725
523	27180	24690
524	27190	24600
525	27225	24534
526	27281	24486
527	27312	24416
528	27346	24348
529	27422	24317
530	27428	24225
531	27517	24207
532	27565	24151
533	27601	24087
534	27785	24150
535	27824	24086
536	27887	24044
537	27899	23958
538	27953	23908
539	28007	23858
540	28041	23791
541	28114	23757
542	28193	23727
